pred_0;pred_1;pred_2;pred_3;pred_4;pred_5;pred_6;pred_7;pred_8;pred_9
29;0;0;0;0;0;0;0;0;0
0;27;0;0;0;0;1;0;1;0
0;0;27;0;0;0;0;0;1;1
0;0;0;26;0;1;0;0;1;1
0;0;0;0;26;0;0;0;0;2
1;0;0;0;0;26;1;0;0;0
0;0;0;0;0;0;29;0;0;0
0;0;0;0;0;0;0;26;2;1
0;0;0;0;2;3;2;0;21;1
0;0;1;1;1;0;0;0;0;26
